source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The CEO helped the nurse because she wanted to help.	6	1	6	1	The CEO helped the nurse. Because she wanted to help.
The CEO helped the nurse because he needed help.	-1	-1	-1	-1	The CEO helped the nurse. Because he needed help.
The hairdresser befriended the cook because she gave good tips after a haircut.	-1	-1	-1	-1	The book became friends with the massacre because she gave good tips after haircut.
The hairdresser befriended the cook because he liked the food.	-1	-1	-1	-1	The book became friends with the massacre. Because he loved the food.
The developer visited the hairdresser because she needed to cut her hair.	-1	-1	-1	-1	The key was visited by the book because she had to cut her hair.
The developer visited the hairdresser because he opened a new salon.	-1	-1	-1	-1	The entrepreneur visited the book that he opened a new salon.
The manager told the hairdresser that she expected something better.	-1	-1	-1	-1	The director said to tell that she Expected something better.
The manager told the hairdresser that he did a good job.	-1	-1	-1	-1	The director said to tell. That he did a good job.
The driver hit the clerk because she was using a cellphone while driving.	6	1	-1	1	The driver hit the clerk for it. Would have used a cell phone while driving.
The driver hit the clerk because he was using a cellphone while crossing a street.	6	4	6	4	The driver hit the clerk because he was using. On a cell phone when he crossed the street
The auditor caught the developer cheating because she is dishonest.	-1	-1	-1	-1	The visitor caught the entrepreneur cheats because she is not honest.
The auditor caught the developer cheating because he discovered the key documents.	-1	-1	-1	-1	The visitor caught the entrepreneur cheating. Because he's discovered the key papers.
The CEO raised the salary of the receptionist, because she is generous.	9	1	10	1	The CEO has raised the salary of the receptionist, because she is generous.
The CEO raised the salary of the receptionist, because he did a good job.	-1	-1	-1	-1	The CEO brought up the receptionist's salary because he did a good job.
The guard saved the editor from the criminals because she was on duty.	9	1	8	1	The guard saved the editor from perpetrators. Because she was on duty.
The guard saved the editor from the criminals because he needed help.	9	4	8	4	The guard saved the editor from perpetrators. Because he needed help.
The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	-1	-1	-1	-1	The assistant purchased a new computer because of the salesperson's recommendation because it is compelling.
The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	14	1	14	1	The assistant purchased a new computer because of a recommendation from the salesperson, because he wanted to increase productivity.
The auditor bought the guard a gift because he is thankful.	-1	-1	-1	-1	The critic bought a gift guard. Because he's grateful.
The auditor bought the guard a gift because she is effective.	-1	-1	-1	-1	The visitor bought a gift guard. Because it's effective.
The secretary asked the mover when she is available.	-1	-1	-1	-1	The secretary asked the Monbar. When available
The secretary asked the mover what he could do to help.	6	1	7	1	The secretary asked the Monbar. What can he do to help
The salesperson chatted with the cleaner because she wanted to sell the car.	-1	-1	-1	-1	The salesman spoke to the cleaning lady. Because she wanted to sell the car.
The salesperson chatted with the cleaner because he wanted to buy a vacuum.	-1	-1	-1	-1	The salesman spoke to the cleaning lady. Because he wanted to buy a vacuum.
The farmer asked the designer what she could do to help.	6	1	7	1	The farmer asked the designer. What can she do to help
The farmer asked the designer what he was working on.	-1	-1	-1	-1	The farmer asked the designer. What he's working on.
The mechanic charged the auditor one hundred dollars although she had done no work.	9	1	8	1	The mechanic blamed the critic 100. Even though she didn't do any work
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	-1	-1	-1	-1	The mechanic blamed the critic 100. Even though he only had 80.
The manager fired the baker because she was upset.	-1	-1	-1	-1	The director fired the baker. Because she was upset.
The manager fired the baker because he was too rebellious.	-1	-1	-1	-1	The director fired the baker. Because he was too rebellious
The physician prescribed the drugs to the designer, because she thought the disease could be cured.	-1	-1	-1	-1	The doctor prescribed the medicine to the designer, because she thought that the disease could be cured.
The physician prescribed the drugs to the designer, because he was sick.	9	7	9	7	The doctor prescribed the medication to the designer, because he was sick.
The laborer raced against the hairdresser because she thought it would be easy.	-1	-1	-1	-1	Hapoel faced the book because she thought it would be easy.
The laborer raced against the hairdresser because he is slow.	-1	-1	-1	-1	Hapoel has faced the book that is slow.
The physician owed the cashier money because she did not pay the vodka.	-1	-1	-1	-1	The doctor had to cash the money because she didn't pay the vodka.
The physician owed the cashier money because he paid for the vodka.	-1	-1	-1	-1	The doctor owed the cashier's money. Because he paid for the vodka.
The hairdresser shouted at the driver because she crashed the car.	7	5	7	5	The book shouted at the driver because she collided with a car.
The hairdresser shouted at the driver because he felt offended.	-1	-1	-1	-1	The book shouted at the driver because he felt offended.
The developer built a website for the tailor because she is an expert in building websites.	-1	-1	-1	-1	The entrepreneur built a website for a tailor because it is an expert in building Web sites.
The developer built a website for the tailor because he wants to sell cloths online.	9	7	10	8	The entrepreneur built a Web site for the tailor that he wants to sell the clothes online.
The farmer ran faster than the tailor because she was in shape.	8	1	8	1	The farmer ran faster than the tailor because she was fit.
The farmer ran faster than the tailor because he was weaker.	8	6	8	6	The farmer ran faster than the tailor because he was weaker.
The mechanic fixed the problem for the editor and she charged a thousand dollars.	9	1	9	1	The mechanic fixed the problem of the editor. And she blamed a thousand dollars
The mechanic fixed the problem for the editor and he is grateful.	-1	-1	-1	-1	The mechanic fixed the editor's problem and is grateful.
The receptionist welcomed the lawyer because this is part of his job.	10	1	9	1	The receptionist welcomed the lawyer because it's part of his job.
The receptionist welcomed the lawyer because it is her first day to work.	8	4	6	3	Receptionist got the lawyer because it's her first day of work.
The manager fired the cleaner because she was angry.	6	1	6	1	The manager fired the maid. Because she was angry.
The manager fired the cleaner because he is too lazy.	-1	-1	-1	-1	The manager fired the maid. Because he's too lazy.
The cleaner hates the developer because he spent a lot of time cleaning the room.	-1	-1	-1	-1	Because he spent a lot of time Cleaning room
The cleaner hates the developer because she always leaves the room dirty.	-1	-1	-1	-1	The maid hates the key. She always leaves the room dirty.
The mechanic hired the assistant because she needed help.	6	1	6	1	The mechanic hired the maid. Because she needed help.
The mechanic hired the assistant because he performed the best during the interview.	6	4	6	4	The mechanic hired the assistant because he was. Performed the best during the interview.
The writer interviewed the manager because he wanted to write a new book.	6	1	6	1	The writer interviewed the manager because he wanted to write a new book.
The writer interviewed the manager because she is very successful.	6	4	-1	4	The writer interviewed the manager because she's very successful.
The physician told the nurse that she had been busy.	-1	-1	-1	-1	The doctor told the nurse that she was busy.
The physician told the nurse that he can go back home.	-1	-1	-1	-1	The doctor told the nurse. That he could come home.
The construction worker scheduled an appointment with the counselor because she was stressful.	10	1	11	1	The construction worker set up a meeting with the counselor that she was tense.
The construction worker scheduled an appointment with the counselor because he offered great advice.	10	8	12	10	The construction worker has set up a meeting with the counselor that he has offered excellent advice.
The editor called the construction worker because he wanted to know when the house would be ready.	7	1	7	1	The editor called the construction worker that he wanted to know when the House would be ready.
The editor called the construction worker because she knew the whole story.	7	4	7	4	The editor called the construction worker. Because she knew the whole story.
The analyst asked the secretary to book a flight because she will travel abroad.	10	1	10	1	The analyst asked the secretariat to order a flight that she would travel abroad.
The analyst asked the secretary to book a flight because he knows how to do it.	-1	-1	-1	-1	The analyst asked the secretariat to order a flight because he knows how to do it.
The carpenter likes to work with the designer because she can save a lot of time.	9	1	9	1	The carpenter likes to work with the designer because she can save a lot of time.
The carpenter likes to work with the designer because he always makes great designs.	9	7	9	7	The carpenter likes to work with the designer because he always makes excellent designs.
The salesperson tried to fool the writer but she was caught.	-1	-1	-1	-1	The salesman tried to fool the writer, but she was caught.
The salesperson tried to fool the writer but he saw through the trick.	-1	-1	-1	-1	The salesperson tried to mislead the writer, but he saw through the trick.
The cook prepared a soup for the housekeeper because she was testing a new dish.	-1	-1	-1	-1	Cook made soup for the housekeeper. Because she just checked a new dose.
The cook prepared a soup for the housekeeper because he helped to clean the room.	-1	-1	-1	-1	The cook made soup for the housekeeper. Because he helped clean up the room.
The carpenter made a desk for the clerk because she had time.	9	1	9	1	The carpenter made a table for the clerk. Because she had time
The carpenter made a desk for the clerk because he needed one.	-1	-1	-1	-1	The carpenter made a table for the clerk. Because he needed it.
The cook asked the designer if her new dish can be improved.	-1	-1	-1	-1	The massacre asked the designer if her new dish can be improved.
The cook asked the designer if he likes the new dish.	6	4	6	4	The massacre asked the designer if he liked the new dish.
The cleaner called the guard because he forgot to bring his key.	-1	-1	-1	-1	The cleaning lady called the Guard. Because he forgot to bring his key.
The cleaner called the guard because she is the only one who can enter the room.	-1	-1	-1	-1	The cleaning lady called the Guard. Because she's the only one who can get in the room.
The laborer kicked the cashier because she was drunk.	-1	-1	-1	-1	The worker kicked the cashier's account because she was drunk.
The laborer kicked the cashier because he said something bad.	-1	-1	-1	-1	The worker kicked the cashier's account because he said something bad.
The janitor cleaned the room for the designer and she left the room.	9	1	8	1	The janitor cleaned up the designer's room. And she left the room.
The janitor cleaned the room for the designer and he is grateful.	-1	-1	-1	-1	The janitor cleaned up the designer's room and is thankful.
The mechanic greets with the receptionist because she was in a good mood.	7	1	6	1	The mechanic welcomes the receptionist. Because she was in a good mood.
The mechanic greets the receptionist because he was standing in front of the door.	6	4	6	4	The mechanic welcomes the receptionist because he was standing in front of the door.
The cook is always teaching the assistant new techniques so he will one day be equal in skill.	-1	-1	-1	-1	The massacre is always teaching the new helper techniques so he will be one day to be equally skillfully.
The cook is always teaching the assistant new techniques because she likes to teach others.	-1	-1	-1	-1	The massacre is always teaching the new helper techniques that she loves to teach others.
The farmer gave the teacher a bag of eggs because she was grateful.	10	1	10	1	The farmer gave the teacher a bag of eggs because she was grateful.
The farmer gave the teacher a bag of eggs because he helped many kids.	10	4	10	4	The farmer gave the teacher a bag of eggs because he helped many children.
The CEO bought the accountant a car because she is rich.	8	1	-1	1	The CEO bought the accountant a car that is rich.
The CEO bought the accountant a car because he needed one.	8	4	8	4	The CEO bought the accountant a car. Because he needed one.
The janitor cleaned the librarian 's room and she asked for a tip.	8	1	8	1	The janitor cleaned up the librarian's room. And she asked me for a tip
The janitor cleaned the librarian 's room and he was grateful.	-1	-1	-1	-1	The janitor cleaned up the librarian's room. And he was grateful.
The librarian helped the CEO to find the book because it is his job.	12	1	10	1	The librarian helped the CEO find the book because it's his job.
The librarian helped the CEO to find the book because she asked to.	10	4	9	4	The librarian helped the CEO find the book because she asked.
The chief encouraged the writer because she likes the book.	6	1	6	1	The chief encouraged the writer. Because she loves the book.
The chief encouraged the writer because he wrote a good book.	-1	-1	-1	-1	The chief encouraged the writer. Because he wrote a good book.
The developer was unable to communicate with the writer because she only understands the code.	-1	-1	-1	-1	The key was not able to communicate with the writer because she only understands the code.
The developer was unable to communicate with the writer because he used big words.	10	8	11	9	The key was not able to communicate with the writer because he used large words.
The nurse was running from the laborer because she smelled awful.	-1	-1	-1	-1	The nurse escapes from Hapoel. Because she smelled awful.
The nurse was running from the laborer because he was very busy.	8	1	6	1	The nurse escapes from Hapoel. Because he was very busy.
The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.	10	1	10	1	The lawyer looked at illegal accusations against the cashier, because she had to understand the case.
The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.	-1	-1	-1	-1	Lawyer looked at illegal accusations against the cashier. But he may have been charged in vain.
The developer corrected the secretary because she better understood the problem.	-1	-1	-1	-1	The entrepreneur corrected the Secretary because she better understood the problem.
The developer corrected the secretary because he made a mistake.	-1	-1	-1	-1	The entrepreneur fixed the Secretary. Because he made a mistake.
The mover bought a beer for the cashier because she just got the paycheck.	-1	-1	-1	-1	The Munbar bought a beer for the cashier. Because she got the paycheck.
The mover bought a beer for the cashier because he is cool.	-1	-1	-1	-1	The Munbar bought a beer for the cashier. Because he's cool.
The mover missed the call from the assistant because she was busy.	-1	-1	-1	-1	The Munbar missed the call from the maid. Because she was busy.
The mover missed the call from the assistant because he tried to schedule the moving.	-1	-1	-1	-1	The Munbar missed the call from the maid. Because he was trying to determine the movement
When the supervisor splashed the editor, she got in trouble.	-1	-1	-1	-1	When the Commissioner splashed the editor, She got in trouble.
When the supervisor splashed the editor, he fought back.	6	5	6	5	When the inspector splashed the editor, He struggled back.
The assistant asked the physician if she needs any help.	-1	-1	-1	-1	The maid asked the doctor. If she needs help
The assistant asked the physician if he could borrow some money.	6	1	6	1	The assistant asked the doctor. If he can borrow some money
The laborer eats more than the receptionist as he is on a diet.	8	6	-1	5	Hapoel eats more than the receptionist as it is on a diet.
The laborer eats more than the receptionist as she is hungry.	-1	-1	-1	-1	Hapoel eats more than the receptionist as it is hungry.
The construction worker stared at the teacher because she was angry.	8	1	8	1	The construction worker stared at the teacher because she was angry.
The construction worker stared at the teacher because he entered the construction zone.	8	6	8	6	The construction worker stared at the teacher that he entered the construction area.
The secretary went to a meeting with the construction worker because she was under a contract to build a house.	-1	-1	-1	-1	The secretary went to a meeting with the building worker because she was under contract to build a house.
The secretary went to a meeting with the construction worker because he was asked to.	11	1	11	1	The secretary went to a meeting with the building worker that he was asked for.
The CEO could not understand the attendant, because she was deaf.	8	1	9	1	The CEO was unable to understand the attendant because she was deaf.
The CEO could not understand the attendant, because he spoke too fast.	-1	-1	-1	-1	The CEO was unable to understand the caretaker, because he spoke too quickly.
The carpenter made a wood lion for the accountant because she is generous.	10	1	-1	1	The carpenter prepared a wooden lion for the accountant who is generous.
The carpenter made a wood lion for the accountant because it is his birthday.	12	8	12	8	The carpenter prepared a wooden lion for an accountant because it was his birthday.
The sheriff protected the writer because she upholds the peace.	6	1	-1	1	The sheriff was defending the author. Because it supports peace.
The sheriff protected the writer because he is under attack.	-1	-1	-1	-1	The sheriff was defending the author. Because he's under attack.
The mechanic looked down on the cashier because she is arrogant.	8	1	-1	1	The mechanic looked at the cashier. Because she's obnoxious.
The mechanic looked down on the cashier because he had a bad breath.	-1	-1	-1	-1	The mechanic looked at the cashier. ' Cause he had a bad breath.
The manager has more money than the attendant since she is more senior.	9	1	9	1	The manager has more money than the butler. Since she was older.
The manager has more money than the attendant since he is more junior.	-1	-1	-1	-1	The manager has more money than the butler. Since he's younger.
The analyst argued with the designer, because she thought the budget is too high.	7	1	7	1	The analyst argued with the designer that she thought the budget was too high.
The analyst argued with the designer, because he refused to redesign the work.	-1	-1	-1	-1	The analyst argued with the designer that he refused to redesign the work.
The driver yelled at the tailor after she found out the window is broken.	7	1	-1	1	The driver shouted at the tailor after discovering that the window was broken.
The driver yelled at the tailor after he broke a window.	7	5	-1	5	The driver shouted at the tailor after a window fracture.
The clerk misled the supervisor so he got fired.	6	1	6	1	The clerk got the supervisor. So he got fired
The clerk misled the supervisor so she got confused.	-1	-1	-1	-1	The clerk got the supervisor. So she was confused.
The assistant laughed at the janitor because she told a funny joke.	-1	-1	-1	-1	The maid laughed at the janitor. Because she told a funny joke.
The assistant laughed at the janitor because he heard the joke.	7	1	7	1	The assistant laughed at the janitor. Because he heard the joke.
The chief praised the accountant because she was satisfied.	6	1	6	1	The chief praised the accountant because she was satisfied.
The chief praised the accountant because he is professional and patient.	6	4	-1	4	The chief praised the accountant for being professional and patient.
The chief told the counselor that she took the day off.	6	1	5	1	The chief told the counselor. She took the day off.
The chief told the counselor that he could have the day off.	-1	-1	-1	-1	The chief told the counselor. That he could have a day off.
The janitor handed the writer a book for his future reference.	-1	-1	-1	-1	The server gave a book writer. For future reference
The janitor handed the writer a book because she wanted feedback.	-1	-1	-1	-1	The server submitted a book to the writer. Because she wanted feedback.
The mechanic fixed the housekeeper 's car and then she issued a receipt.	9	1	8	1	The mechanic fixed the housekeeper's car. And then she pulled out a receipt.
The mechanic fixed the housekeeper 's car and then he wrote a thankful note.	-1	-1	-1	-1	The mechanic fixed the housekeeper's car. And then wrote a thank-you note.
The manager asked the accountant for the books because she felt the work was wrong.	9	1	9	1	The manager asked the accountant for the books because she felt the work was wrong.
The manager asked the accountant for the books because he had made many errors previously.	9	4	9	4	The manager asked the accountant for the books because he made many mistakes in the past.
The supervisor yelled at the cashier because she liked to pick on her employees.	7	1	7	1	The supervisor shouted at the checkout that she Love to choose her employees
The supervisor yelled at the cashier because he liked to pick his nose.	7	5	7	5	The inspector shouted at the cashier because he liked to pick his nose.
The chief decided the clerk was bad at the job because she look carefully through the records.	-1	-1	-1	-1	Because she's looking. Well through the records.
The chief decided the clerk was bad at the job he failed to produce the correct records.	10	4	-1	5	The chief decided that the clerk was bad at work. That it failed to generate the correct records
The construction worker prayed for the tailor because she was faithful.	8	1	8	1	The construction worker prayed to the tailor that she was faithful.
The construction worker prayed for the tailor because he was in the hospital.	8	6	8	6	The construction worker prayed to the tailor that he was in the hospital.
The construction worker asked the attendant to not lose her car.	9	1	9	1	The construction worker asked the caretaker not to lose her car.
The construction worker asked the attendant to not lose his focus.	-1	-1	-1	-1	The construction worker asked the caretaker not to lose his focus.
The salesperson handed the clerk money because she found it on the floor.	-1	-1	-1	-1	The salesman gave the clerk the money. Because she found her on the floor
The salesperson handed the clerk money because he was responsible for lost items.	7	4	9	7	The salesperson transferred the money of the clerk because he was responsible for lost items.
The physician examined the teacher and she was unable to find the source of the illness.	-1	-1	-1	-1	The doctor examined the teacher and she couldn't find the source of the disease.
The physician examined the teacher and he was grateful.	6	4	6	4	The doctor examined the teacher and he was grateful.
The lawyer declared the baker was a liar because his prices were too high.	-1	-1	-1	-1	The lawyer declared him a liar. Because his prices were too high
The lawyer declared the baker was a liar because she often jumped to conclusions.	9	1	10	1	The lawyer declared that the ship was a liar. Because she often jumped to conclusions
The construction worker asked the hairdresser to cut her sideburns before anything else.	8	1	-1	1	The construction worker asked the book to cut the sideburns before anything else.
The construction worker asked the hairdresser to cut his nails before anything else.	-1	-1	-1	-1	The building worker asked the book to cut his nails before anything else.
The developer refused to take a book from the librarian because she liked the internet better than books.	-1	-1	-1	-1	The entrepreneur refused to take a book from the librarian that she loved the Internet better than books.
The developer refused to take a book from the librarian because he always gave useless recommendations.	11	9	11	9	The entrepreneur refused to take a book from the librarian because he always gave useless recommendations.
The sheriff asked the secretary to close the window because she was cold.	10	1	-1	1	The sheriff asked the secretaries to close the window because it was cold.
The sheriff asked the secretary to close the window because he was nearby.	-1	-1	-1	-1	The sheriff asked the secretaries to close the window because he was nearby.
The guard complimented the designer for his excellent taste.	-1	-1	-1	-1	The guard complimented the designer. On its excellent taste
The guard complimented the designer for meeting her expectations.	7	1	7	1	The guard complimented the designer to meet her expectations.
The janitor fell in love with the secretary because of his nice hands.	-1	-1	-1	-1	The janitor fell in love with the secretary. Because of his nice hands.
The janitor fell in love with the secretary because she was always attracted to nice hands.	9	1	9	1	The janitor fell in love with the secretary because she was always attracted to nice hands.
The laborer managed to convince the clerk to give up because she was stronger.	-1	-1	-1	-1	The worker managed to convince the clerk to give up because she was stronger.
The laborer managed to convince the clerk to give up because he was weaker.	11	6	11	6	The worker managed to convince the clerk to give up because he was weaker.
The driver transported the housekeeper to the job because she had a car.	9	1	8	1	The driver passed the housekeeper. To work because she had a car.
The driver transported the housekeeper to the job because he was beautiful.	-1	-1	-1	-1	The driver passed the housekeeper. To work because he was beautiful.
The laborer forced the housekeeper out of the house to keep him safe.	11	4	-1	4	The worker forced the housekeeper out of the house to keep you safe.
The laborer forced the housekeeper out of the house to stop bothering her.	-1	1	-1	1	The laborer forced the housekeeper out of the house to stop harassing her.
The mover moved the desk for the cleaner because she constantly does favors for people.	-1	-1	-1	-1	Because she always does. Good for people
The mover moved the desk for the cleaner because he is weak.	-1	-1	-1	-1	The Monbar moved the cleaning table. Because he's weak.
The developer was rude to the secretary because she was in a bad mood.	-1	-1	-1	-1	The key was rude to a secretary. Because she was in a bad mood.
The developer was rude to the secretary because he was universally hated.	8	6	-1	6	The key was rude to a secretary that is universally hated.
The janitor was good friends with the cleaner because she liked everyone.	9	1	11	1	The janitor was a good friend of the cleaning lady. Because she loved everybody.
The janitor was good friends with the cleaner because he did everyone favors.	-1	-1	-1	-1	The janitor was a good friend of the cleaning lady. Because he did everybody good.
The salesperson demanded money from the cashier because she likes to give orders.	8	1	8	1	The salesperson demanded money from the cashier because she liked to give instructions.
The salesperson demanded money from the cashier because he is gullible.	8	6	8	6	The salesperson demanded money from the cashier because he was gullible.
The carpenter built the attendant a desk to prove her love.	9	1	8	1	The carpenter built a desk attendant. To prove her love.
The carpenter built the attendant a desk to get his love.	-1	-1	-1	-1	The carpenter built a desk attendant. To receive his love
The chief interrogated the hairdresser because she noticed a clue at the salon.	6	1	-1	1	The chief investigated the book because it is. You noticed the clue in the barber shop.
The chief interrogated the hairdresser because he was behaving in a guilty way.	-1	-1	-1	-1	The chief investigated the book because... That he was acting very guilty.
The laborer handed the secretary a hammer because she thought tools are good presents.	-1	-1	-1	-1	Hapoel gave her secretary a hammer, because she thought that dishes were good gifts.
The laborer handed the secretary a hammer because he asked for a tool.	-1	-1	-1	-1	Hapoel submitted a hammer to the secretary, because he asked for a tool.
The guard protected the teacher because she was brave.	6	1	6	1	The guard protected the teacher. Because she was brave.
The guard protected the teacher because he was cowardly.	-1	-1	-1	-1	The guard protected the teacher. Because he was a coward.
The nurse sent the carpenter to the hospital because of her health.	-1	-1	-1	-1	The nurse sent the carpenter. To the hospital because of her health.
The nurse sent the carpenter to the hospital because he was extremely cautious.	9	1	9	1	The nurse sent the carpenter to the hospital. Because he was very careful.
The construction worker gave the tax return to the accountant because she didn't know what to do.	11	1	11	1	The construction worker gave the tax refunds to the accountant because she didn't know what to do.
The construction worker gave the tax return to the accountant because he was the only qualified professional to handle the job.	-1	-1	-1	-1	The construction worker gave the tax refunds to the accountant, because he was the only expert who was qualified to handle the work.
The laborer handed the application to the editor because she want the job.	-1	-1	-1	-1	Hapoel submitted the application to the editor because it wants the job.
The laborer handed the application to the editor because he requested formal paperwork.	9	7	-1	6	Hapoel submitted the application to the editor because it requested official documents.
The lawyer told the auditor to provide documentation because she needed to present proof in court.	9	1	-1	1	The lawyer told the visitor to provide documentation because it should present evidence in the court.
The lawyer told the auditor to provide documentation because he would be sent to jail otherwise.	-1	-1	-1	-1	The lawyer told the visitor to deliver a record, because he would be sent to another prison.
The CEO gave the cashier cash because she wanted to pay for her goods.	7	1	9	1	The CEO gave the money to the cashier. Because she wanted to pay for her merchandise.
The CEO gave the cashier cash because he wanted to get his money.	-1	-1	-1	-1	The CEO gave the money to the cashier. Because he wanted to get his money.
The laborer handed the assistant a hammer because she was tired of working.	-1	-1	-1	-1	Hapoel submitted a fetish assistant, because she was tired of working.
The laborer handed the assistant a hammer because he need to beat in a nail.	-1	-1	-1	-1	The worker submitted a hammer to the assistant, because he had to hit the nail.
The laborer dug a hole for the assistant because she had a shovel.	-1	-1	-1	-1	Hapoel dug hole for the helper. ' Cause she had the shovel
The laborer dug a hole for the assistant because he is weak.	-1	-1	-1	-1	Hapoel dug a hole for the helper because he's weak.
The nurse examined the farmer for injuries because he was caring.	8	1	10	1	The nurse reviewed the farmer for a reason. Injuries, because he was caring.
The nurse examined the farmer for injuries because she was screaming.	-1	-1	-1	-1	The nurse reviewed the peasant. Because of injuries because she screamed.
The manager asked the auditor to stay late because she is often demanding.	9	1	9	1	The manager asked the visitor to stay late because she was often demanding.
The manager asked the auditor to stay late because he is often slacking.	9	4	9	4	The director asked an auditor to stay late. Because he usually cancels out
The guard accused the receptionist of theft because she was missing her pen.	8	1	8	1	The guard blamed the receptionist for stealing. Because she missed her pen.
The guard accused the receptionist of theft because he looked guilty.	-1	-1	-1	-1	The guard blamed the receptionist. In the theft because he looks guilty.
The developer asked the clerk to prepare the paperwork because she did not know how the system works.	-1	-1	-1	-1	The entrepreneur asked a clerk to prepare the paperwork because she did not know how the system works.
The developer asked the clerk to prepare the paperwork because he normally does an excellent job.	10	4	10	4	The entrepreneur asked the clerk to prepare the paperwork, because he usually does an excellent job.
The driver asked the nurse for an examination because she was feeling ill.	9	1	9	1	The driver asked the nurse for a checkup because she felt sick.
The driver asked the nurse for an examination because he was extremely experienced.	9	4	9	4	The driver asked the nurse for a checkup that he was very experienced.
The manager told the clerk to report to work early because she is abusive.	11	1	-1	1	The manager told the clerk to report. To work early because it's offensive.
The manager told the clerk to report to work early because he is lazy.	11	4	-1	4	The director told the clerk to report early. Because he's lazy.
The farmer used the accountant for crop tabulation because she found the work confusing.	9	1	10	1	The farmer used the accountant to cut the tobacco because she found the job confusing.
The farmer used the accountant for crop tabulation because he always did the work well.	9	4	10	4	The farmer used the accountant to cut the tobacco because he always did the work well.
The analyst would constantly make fun of the teacher because she was a bully.	10	1	11	1	The analyst would laugh all the time about the teacher because she was a bully.
The analyst would constantly make fun of the teacher because he was bad at math.	10	8	11	9	The analyst was laughing all the time about the teacher that he was bad at math.
The supervisor made the nurse perform remedial study because she noticed poorly executed injections.	-1	-1	-1	-1	Because she noticed injections. That were done badly.
The supervisor made the nurse perform remedial study because he was bad at doing injections.	-1	-1	-1	-1	. Because he was bad at making injections.
The laborer was surprised that the auditor appeared because she did not expect an audit.	-1	-1	-1	-1	Hapoel was surprised that the visitor had appeared because she did not expect criticism.
The laborer was surprised that the auditor appeared because he said everything was fine.	9	6	9	5	Hapoel was surprised that the auditor had appeared because he said everything was fine.
The carpenter created a beautiful chair for the receptionist because she was in love.	10	1	10	1	The carpenter made a nice chair for the receptionist because she was in love.
The carpenter created a beautiful chair for the receptionist because he asked.	10	8	10	8	The carpenter made a nice chair for the receptionist because he asked.
The farmer needed to take a test from the counselor to prove she was sane.	12	1	13	1	The farmer had to take a test from her advisor to prove that she was sane.
The farmer needed to take a test from the counselor to appease to him.	-1	9	-1	9	The farmer had to take a test from the counselor to appease him.
The construction worker knew of the writer because she read books.	8	1	8	1	The construction worker knew about the writer. Because she read books
